[9, 341]
step001: 1 下
step002: 3 下
step003: 1 上
step004: 2 下
step005: 1 下
step006: 5 下
step007: 1 上
step008: 2 上
step009: 1 下
step010: 3 上
step011: 1 上
step012: 2 下
step013: 1 下
step014: 4 下
step015: 1 上
step016: 2 上
step017: 1 下
step018: 3 下
step019: 1 上
step020: 2 下
step021: 1 下
step022: 7 下
step023: 1 上
step024: 2 上
step025: 1 下
step026: 3 上
step027: 1 上
step028: 2 下
step029: 1 下
step030: 4 上
step031: 1 上
step032: 2 上
step033: 1 下
step034: 3 下
step035: 1 上
step036: 2 下
step037: 1 下
step038: 5 上
step039: 1 上
step040: 2 上
step041: 1 下
step042: 3 上
step043: 1 上
step044: 2 下
step045: 1 下
step046: 4 下
step047: 1 上
step048: 2 上
step049: 1 下
step050: 3 下
step051: 1 上
step052: 2 下
step053: 1 下
step054: 6 下
step055: 1 上
step056: 2 上
step057: 1 下
step058: 3 上
step059: 1 上
step060: 2 下
step061: 1 下
step062: 4 上
step063: 1 上
step064: 2 上
step065: 1 下
step066: 3 下
step067: 1 上
step068: 2 下
step069: 1 下
step070: 5 下
step071: 1 上
step072: 2 上
step073: 1 下
step074: 3 上
step075: 1 上
step076: 2 下
step077: 1 下
step078: 4 下
step079: 1 上
step080: 2 上
step081: 1 下
step082: 3 下
step083: 1 上
step084: 2 下
step085: 1 下
step086: 9 下
step087: 1 上
step088: 2 上
step089: 1 下
step090: 3 上
step091: 1 上
step092: 2 下
step093: 1 下
step094: 4 上
step095: 1 上
step096: 2 上
step097: 1 下
step098: 3 下
step099: 1 上
step100: 2 下
step101: 1 下
step102: 5 上
step103: 1 上
step104: 2 上
step105: 1 下
step106: 3 上
step107: 1 上
step108: 2 下
step109: 1 下
step110: 4 下
step111: 1 上
step112: 2 上
step113: 1 下
step114: 3 下
step115: 1 上
step116: 2 下
step117: 1 下
step118: 6 上
step119: 1 上
step120: 2 上
step121: 1 下
step122: 3 上
step123: 1 上
step124: 2 下
step125: 1 下
step126: 4 上
step127: 1 上
step128: 2 上
step129: 1 下
step130: 3 下
step131: 1 上
step132: 2 下
step133: 1 下
step134: 5 下
step135: 1 上
step136: 2 上
step137: 1 下
step138: 3 上
step139: 1 上
step140: 2 下
step141: 1 下
step142: 4 下
step143: 1 上
step144: 2 上
step145: 1 下
step146: 3 下
step147: 1 上
step148: 2 下
step149: 1 下
step150: 7 上
step151: 1 上
step152: 2 上
step153: 1 下
step154: 3 上
step155: 1 上
step156: 2 下
step157: 1 下
step158: 4 上
step159: 1 上
step160: 2 上
step161: 1 下
step162: 3 下
step163: 1 上
step164: 2 下
step165: 1 下
step166: 5 上
step167: 1 上
step168: 2 上
step169: 1 下
step170: 3 上
step171: 1 上
step172: 2 下
step173: 1 下
step174: 4 下
step175: 1 上
step176: 2 上
step177: 1 下
step178: 3 下
step179: 1 上
step180: 2 下
step181: 1 下
step182: 6 下
step183: 1 上
step184: 2 上
step185: 1 下
step186: 3 上
step187: 1 上
step188: 2 下
step189: 1 下
step190: 4 上
step191: 1 上
step192: 2 上
step193: 1 下
step194: 3 下
step195: 1 上
step196: 2 下
step197: 1 下
step198: 5 下
step199: 1 上
step200: 2 上
step201: 1 下
step202: 3 上
step203: 1 上
step204: 2 下
step205: 1 下
step206: 4 下
step207: 1 上
step208: 2 上
step209: 1 下
step210: 3 下
step211: 1 上
step212: 2 下
step213: 1 下
step214: 8 下
step215: 1 上
step216: 2 上
step217: 1 下
step218: 3 上
step219: 1 上
step220: 2 下
step221: 1 下
step222: 4 上
step223: 1 上
step224: 2 上
step225: 1 下
step226: 3 下
step227: 1 上
step228: 2 下
step229: 1 下
step230: 5 上
step231: 1 上
step232: 2 上
step233: 1 下
step234: 3 上
step235: 1 上
step236: 2 下
step237: 1 下
step238: 4 下
step239: 1 上
step240: 2 上
step241: 1 下
step242: 3 下
step243: 1 上
step244: 2 下
step245: 1 下
step246: 6 上
step247: 1 上
step248: 2 上
step249: 1 下
step250: 3 上
step251: 1 上
step252: 2 下
step253: 1 下
step254: 4 上
step255: 1 上
step256: 2 上
step257: 1 下
step258: 3 下
step259: 1 上
step260: 2 下
step261: 1 下
step262: 5 下
step263: 1 上
step264: 2 上
step265: 1 下
step266: 3 上
step267: 1 上
step268: 2 下
step269: 1 下
step270: 4 下
step271: 1 上
step272: 2 上
step273: 1 下
step274: 3 下
step275: 1 上
step276: 2 下
step277: 1 下
step278: 7 下
step279: 1 上
step280: 2 上
step281: 1 下
step282: 3 上
step283: 1 上
step284: 2 下
step285: 1 下
step286: 4 上
step287: 1 上
step288: 2 上
step289: 1 下
step290: 3 下
step291: 1 上
step292: 2 下
step293: 1 下
step294: 5 上
step295: 1 上
step296: 2 上
step297: 1 下
step298: 3 上
step299: 1 上
step300: 2 下
step301: 1 下
step302: 4 下
step303: 1 上
step304: 2 上
step305: 1 下
step306: 3 下
step307: 1 上
step308: 2 下
step309: 1 下
step310: 6 下
step311: 1 上
step312: 2 上
step313: 1 下
step314: 3 上
step315: 1 上
step316: 2 下
step317: 1 下
step318: 4 上
step319: 1 上
step320: 2 上
step321: 1 下
step322: 3 下
step323: 1 上
step324: 2 下
step325: 1 下
step326: 5 下
step327: 1 上
step328: 2 上
step329: 1 下
step330: 3 上
step331: 1 上
step332: 2 下
step333: 1 下
step334: 4 下
step335: 1 上
step336: 2 上
step337: 1 下
step338: 3 下
step339: 1 上
step340: 2 下
step341: 1 下
