[9, 341]
step001: 1 上
step002: 2 上
step003: 1 下
step004: 3 上
step005: 1 上
step006: 2 下
step007: 1 下
step008: 4 上
step009: 1 上
step010: 2 上
step011: 1 下
step012: 3 下
step013: 1 上
step014: 2 下
step015: 1 下
step016: 5 上
step017: 1 上
step018: 2 上
step019: 1 下
step020: 3 上
step021: 1 上
step022: 2 下
step023: 1 下
step024: 4 下
step025: 1 上
step026: 2 上
step027: 1 下
step028: 3 下
step029: 1 上
step030: 2 下
step031: 1 下
step032: 6 上
step033: 1 上
step034: 2 上
step035: 1 下
step036: 3 上
step037: 1 上
step038: 2 下
step039: 1 下
step040: 4 上
step041: 1 上
step042: 2 上
step043: 1 下
step044: 3 下
step045: 1 上
step046: 2 下
step047: 1 下
step048: 5 下
step049: 1 上
step050: 2 上
step051: 1 下
step052: 3 上
step053: 1 上
step054: 2 下
step055: 1 下
step056: 4 下
step057: 1 上
step058: 2 上
step059: 1 下
step060: 3 下
step061: 1 上
step062: 2 下
step063: 1 下
step064: 7 上
step065: 1 上
step066: 2 上
step067: 1 下
step068: 3 上
step069: 1 上
step070: 2 下
step071: 1 下
step072: 4 上
step073: 1 上
step074: 2 上
step075: 1 下
step076: 3 下
step077: 1 上
step078: 2 下
step079: 1 下
step080: 5 上
step081: 1 上
step082: 2 上
step083: 1 下
step084: 3 上
step085: 1 上
step086: 2 下
step087: 1 下
step088: 4 下
step089: 1 上
step090: 2 上
step091: 1 下
step092: 3 下
step093: 1 上
step094: 2 下
step095: 1 下
step096: 6 下
step097: 1 上
step098: 2 上
step099: 1 下
step100: 3 上
step101: 1 上
step102: 2 下
step103: 1 下
step104: 4 上
step105: 1 上
step106: 2 上
step107: 1 下
step108: 3 下
step109: 1 上
step110: 2 下
step111: 1 下
step112: 5 下
step113: 1 上
step114: 2 上
step115: 1 下
step116: 3 上
step117: 1 上
step118: 2 下
step119: 1 下
step120: 4 下
step121: 1 上
step122: 2 上
step123: 1 下
step124: 3 下
step125: 1 上
step126: 2 下
step127: 1 下
step128: 8 上
step129: 1 上
step130: 2 上
step131: 1 下
step132: 3 上
step133: 1 上
step134: 2 下
step135: 1 下
step136: 4 上
step137: 1 上
step138: 2 上
step139: 1 下
step140: 3 下
step141: 1 上
step142: 2 下
step143: 1 下
step144: 5 上
step145: 1 上
step146: 2 上
step147: 1 下
step148: 3 上
step149: 1 上
step150: 2 下
step151: 1 下
step152: 4 下
step153: 1 上
step154: 2 上
step155: 1 下
step156: 3 下
step157: 1 上
step158: 2 下
step159: 1 下
step160: 6 上
step161: 1 上
step162: 2 上
step163: 1 下
step164: 3 上
step165: 1 上
step166: 2 下
step167: 1 下
step168: 4 上
step169: 1 上
step170: 2 上
step171: 1 下
step172: 3 下
step173: 1 上
step174: 2 下
step175: 1 下
step176: 5 下
step177: 1 上
step178: 2 上
step179: 1 下
step180: 3 上
step181: 1 上
step182: 2 下
step183: 1 下
step184: 4 下
step185: 1 上
step186: 2 上
step187: 1 下
step188: 3 下
step189: 1 上
step190: 2 下
step191: 1 下
step192: 7 下
step193: 1 上
step194: 2 上
step195: 1 下
step196: 3 上
step197: 1 上
step198: 2 下
step199: 1 下
step200: 4 上
step201: 1 上
step202: 2 上
step203: 1 下
step204: 3 下
step205: 1 上
step206: 2 下
step207: 1 下
step208: 5 上
step209: 1 上
step210: 2 上
step211: 1 下
step212: 3 上
step213: 1 上
step214: 2 下
step215: 1 下
step216: 4 下
step217: 1 上
step218: 2 上
step219: 1 下
step220: 3 下
step221: 1 上
step222: 2 下
step223: 1 下
step224: 6 下
step225: 1 上
step226: 2 上
step227: 1 下
step228: 3 上
step229: 1 上
step230: 2 下
step231: 1 下
step232: 4 上
step233: 1 上
step234: 2 上
step235: 1 下
step236: 3 下
step237: 1 上
step238: 2 下
step239: 1 下
step240: 5 下
step241: 1 上
step242: 2 上
step243: 1 下
step244: 3 上
step245: 1 上
step246: 2 下
step247: 1 下
step248: 4 下
step249: 1 上
step250: 2 上
step251: 1 下
step252: 3 下
step253: 1 上
step254: 2 下
step255: 1 下
step256: 9 上
step257: 1 上
step258: 2 上
step259: 1 下
step260: 3 上
step261: 1 上
step262: 2 下
step263: 1 下
step264: 4 上
step265: 1 上
step266: 2 上
step267: 1 下
step268: 3 下
step269: 1 上
step270: 2 下
step271: 1 下
step272: 5 上
step273: 1 上
step274: 2 上
step275: 1 下
step276: 3 上
step277: 1 上
step278: 2 下
step279: 1 下
step280: 4 下
step281: 1 上
step282: 2 上
step283: 1 下
step284: 3 下
step285: 1 上
step286: 2 下
step287: 1 下
step288: 6 上
step289: 1 上
step290: 2 上
step291: 1 下
step292: 3 上
step293: 1 上
step294: 2 下
step295: 1 下
step296: 4 上
step297: 1 上
step298: 2 上
step299: 1 下
step300: 3 下
step301: 1 上
step302: 2 下
step303: 1 下
step304: 5 下
step305: 1 上
step306: 2 上
step307: 1 下
step308: 3 上
step309: 1 上
step310: 2 下
step311: 1 下
step312: 4 下
step313: 1 上
step314: 2 上
step315: 1 下
step316: 3 下
step317: 1 上
step318: 2 下
step319: 1 下
step320: 7 上
step321: 1 上
step322: 2 上
step323: 1 下
step324: 3 上
step325: 1 上
step326: 2 下
step327: 1 下
step328: 4 上
step329: 1 上
step330: 2 上
step331: 1 下
step332: 3 下
step333: 1 上
step334: 2 下
step335: 1 下
step336: 5 上
step337: 1 上
step338: 2 上
step339: 1 下
step340: 3 上
step341: 1 上
